UUID (128-bit canonical form),Short form (16/32-bit if applicable, else blank),Name,Type (Service/Characteristic/Descriptor/Assigned Number/Member Service/Vendor Custom),Concise description (1–2 sentences),Typical usage/examples (short),Primary source(s) with direct links,Uncertainty flag/explanation (if resolution uncertain; else blank)
"0000183D-0000-1000-8000-00805F9B34FB","0x183D","Authorization Control","Service","Standard service for authorization control workflows.","Devices that require explicit authorization steps.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000183F-0000-1000-8000-00805F9B34FB","0x183F","Elapsed Time","Service","Standardized elapsed-time tracking service.","Timers/training sessions measure elapsed time.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00001840-0000-1000-8000-00805F9B34FB","0x1840","Generic Health Sensor","Service","Generic framework for health sensor data.","Health sensors that do not fit a dedicated profile.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185A-0000-1000-8000-00805F9B34FB","0x185A","Industrial Measurement Device","Service","Service framework for industrial measurement devices.","Industrial sensors expose measurement data and controls.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185B-0000-1000-8000-00805F9B34FB","0x185B","Ranging","Service","Service for ranging-related features.","Ranging/location devices; may pair with CTE features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185C-0000-1000-8000-00805F9B34FB","0x185C","HID ISO","Service","HID service using isochronous transport features.","Advanced HID devices requiring ISO timing semantics.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185D-0000-1000-8000-00805F9B34FB","0x185D","Cookware","Service","Service for smart cookware applications and sensors.","Smart pans/thermometers expose cooking sensor data and triggers.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185E-0000-1000-8000-00805F9B34FB","0x185E","Voice Assistant","Service","Service to support voice-assistant use cases over BLE.","Voice-enabled accessories interact with assistant features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000185F-0000-1000-8000-00805F9B34FB","0x185F","Generic Voice Assistant","Service","Generic variant of the voice-assistant service for interoperability.","General voice-assistant scenarios across vendors.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002912-0000-1000-8000-00805F9B34FB","0x2912","Measurement Description","Descriptor","Human- or machine-readable description of a measurement.","Industrial/measurement devices annotate sensor meaning.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002913-0000-1000-8000-00805F9B34FB","0x2913","Manufacturer Limits","Descriptor","Describes manufacturer-imposed measurement limits.","Industrial measurement frameworks.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002914-0000-1000-8000-00805F9B34FB","0x2914","Process Tolerances","Descriptor","Describes tolerances applicable to a process or measurement.","Industrial process measurement devices.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002915-0000-1000-8000-00805F9B34FB","0x2915","IMD Trigger Setting","Descriptor","Defines trigger settings for Industrial Measurement Device characteristics.","Industrial measurement devices configure trigger conditions.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002916-0000-1000-8000-00805F9B34FB","0x2916","Cooking Sensor Info","Descriptor","Provides cooking sensor information metadata for cookware measurements.","Smart cookware sensors provide measurement metadata.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"00002917-0000-1000-8000-00805F9B34FB","0x2917","Cooking Trigger Setting","Descriptor","Defines trigger settings for cookware-related characteristics.","Smart cookware configures threshold/time triggers.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996",""
"0000FEAA-0000-1000-8000-00805F9B34FB","0xFEAA","Google (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Google.","Eddystone beacons advertise service data with 0xFEAA.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996; https://github.com/google/eddystone/blob/master/protocol-specification.md","SIG member-service table assigns UUID to company; behavior naming is ecosystem-specific."
"0000FE2C-0000-1000-8000-00805F9B34FB","0xFE2C","Google (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Google.","Google Fast Pair provider service data.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996; https://developers.google.com/nearby/fast-pair/specifications/service/provider","SIG member-service table assigns UUID to company; behavior naming is ecosystem-specific."
"0000FE95-0000-1000-8000-00805F9B34FB","0xFE95","Xiaomi Inc. (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Xiaomi.","MiBeacon service data in Xiaomi ecosystem devices.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996; https://iot.mi.com/new/doc/accesses/direct-access/embedded-development/ble/ble-mibeacon","SIG member-service table assigns UUID to company; format naming comes from Xiaomi docs."
"0000FCD2-0000-1000-8000-00805F9B34FB","0xFCD2","Allterco Robotics (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Allterco Robotics.","BTHome service data frames.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996; https://bthome.io/format/","SIG member-service table assigns UUID to company; BTHome naming comes from BTHome docs."
"0000FEED-0000-1000-8000-00805F9B34FB","0xFEED","Tile, Inc. (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Tile, Inc.","Seen in Tile ecosystem advertising.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996","SIG member-service table assigns UUID to company only."
"0000FE9A-0000-1000-8000-00805F9B34FB","0xFE9A","Estimote, Inc. (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Estimote, Inc.","Common in Estimote beacon deployments.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996","SIG member-service table assigns UUID to company only."
"0000FEE4-0000-1000-8000-00805F9B34FB","0xFEE4","Nordic Semiconductor ASA (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Nordic Semiconductor.","Seen in Nordic ecosystem beacons/features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996","SIG member-service table assigns UUID to company only."
"0000FEE5-0000-1000-8000-00805F9B34FB","0xFEE5","Nordic Semiconductor ASA (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to Nordic Semiconductor.","Seen in Nordic ecosystem service data/features.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996","SIG member-service table assigns UUID to company only."
"0000FEBB-0000-1000-8000-00805F9B34FB","0xFEBB","adafruit industries (Member Service UUID)","Member Service","Bluetooth SIG member-service UUID allocated to adafruit industries.","Seen in Adafruit BLE examples and products.","https://www.bluetooth.com/wp-content/uploads/Files/Specification/HTML/Assigned_Numbers/out/en/Assigned_Numbers.pdf?v=1711120414996","SIG member-service table assigns UUID to company only."
"03B80E5A-EDE8-4B33-A751-6CE34EC4C700","","BLE-MIDI Service","Vendor Custom","Service UUID used by BLE MIDI devices for MIDI-over-GATT transport.","Android Bluetooth MIDI stack discovers this service to establish MIDI I/O.","https://chromium.googlesource.com/android_tools/%2B/HEAD/sdk/sources/android-25/com/android/bluetoothmidiservice/BluetoothMidiDevice.java",""
"7772E5DB-3868-4112-A1A9-F2669D106BF3","","BLE-MIDI I/O Characteristic","Vendor Custom","Characteristic used to exchange MIDI packets over BLE (Notify + Write).","Clients enable notifications and write MIDI payloads.","https://chromium.googlesource.com/android_tools/%2B/HEAD/sdk/sources/android-25/com/android/bluetoothmidiservice/BluetoothMidiDevice.java",""
"9FBF120D-6301-42D9-8C58-25E699A21DBD","","ANCS Notification Source","Vendor Custom","ANCS characteristic that notifies about notification events.","Accessories subscribe for compact event messages.","https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html",""
"69D1D8F3-45E1-49A8-9821-9BBDFDAAD9D9","","ANCS Control Point","Vendor Custom","ANCS characteristic used to send control commands.","Accessories request attributes or perform actions.","https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html",""
"22EAC6E9-24D6-4BB5-BE44-B36ACE7C7BFB","","ANCS Data Source","Vendor Custom","ANCS characteristic that returns requested notification/app attributes.","Accessories read structured response payloads.","https://developer.apple.com/library/archive/documentation/CoreBluetooth/Reference/AppleNotificationCenterServiceSpecification/Specification/Specification.html",""
"6E400002-B5A3-F393-E0A9-E50E24DCCA9E","","NUS RX (Write)","Vendor Custom","NUS characteristic written by central to send payloads to peripheral.","Serial-over-BLE uplink into device.","https://docs.nordicsemi.com/bundle/ncs-latest/page/nrf/libraries/bluetooth_services/services/nus.html",""
"6E400003-B5A3-F393-E0A9-E50E24DCCA9E","","NUS TX (Notify)","Vendor Custom","NUS characteristic notified by peripheral toward central.","Serial-over-BLE downlink to app/client.","https://docs.nordicsemi.com/bundle/ncs-latest/page/nrf/libraries/bluetooth_services/services/nus.html",""
"F000FFC1-0451-4000-B000-000000000000","","TI OAD Image Identify","Vendor Custom","TI OAD characteristic used to identify and validate firmware images.","Client exchanges image metadata before transfer.","https://software-dl.ti.com/lprf/simplelink_cc2640r2_latest/docs/blestack/ble_user_guide/html/oad-ble-stack-3.x/oad_profile.html",""
"F000FFC2-0451-4000-B000-000000000000","","TI OAD Image Block","Vendor Custom","TI OAD characteristic used to transfer firmware image blocks.","Client writes sequential firmware chunks during OTA update.","https://software-dl.ti.com/lprf/simplelink_cc2640r2_latest/docs/blestack/ble_user_guide/html/oad-ble-stack-3.x/oad_profile.html",""
